Date,Spotify Streams,Change
"May 31, 2025",311281787,1642752
"Jun 1, 2025",312906630,1624843
"Jun 2, 2025",314218998,1312368
"Jun 3, 2025",315698812,1479814
"Jun 4, 2025",317202241,1503429
"Jun 5, 2025",319520685,2318444
"Jun 6, 2025",321839128,2318444
"Jun 7, 2025",321839128,0
"Jun 8, 2025",323468492,1629364
"Jun 9, 2025",324856757,1388265
"Jun 10, 2025",326256809,1400052
"Jun 11, 2025",327654542,1397733
"Jun 12, 2025",329019185,1364643
"Jun 13, 2025",330447207,1428022
"Jun 14, 2025",331982234,1535027
"Jun 15, 2025",333497521,1515287
"Jun 16, 2025",334865339,1367818
"Jun 17, 2025",336241369,1376030
"Jun 18, 2025",337657503,1416134
"Jun 19, 2025",339049894,1392391
"Jun 20, 2025",340382920,1333026
"Jun 21, 2025",341756458,1373538
"Jun 22, 2025",343182932,1426474
"Jun 23, 2025",344451370,1268438
"Jun 24, 2025",345711551,1260181
"Jun 25, 2025",346992003,1280452
"Jun 26, 2025",348285894,1293891
"Jun 27, 2025",349566435,1280541
"Jun 28, 2025",350875636,1309201
"Jun 29, 2025",352130333,1254697
"Jun 30, 2025",353236329,1105996
"Jul 1, 2025",354382359,1146030
"Jul 2, 2025",355541437,1159078
"Jul 3, 2025",356659828,1118391
"Jul 4, 2025",357824016,1164188
"Jul 5, 2025",359005241,1181225
"Jul 6, 2025",360163020,1157779
"Jul 7, 2025",361222754,1059734
"Jul 8, 2025",362324894,1102140
"Jul 9, 2025",363428184,1103290
"Jul 10, 2025",364541935,1113751
"Jul 11, 2025",365669381,1127446
"Jul 12, 2025",366817875,1148494
"Jul 13, 2025",367985351,1167476
"Jul 14, 2025",369019951,1034600
"Jul 15, 2025",370038036,1018085
"Jul 16, 2025",371087342,1049306
"Jul 17, 2025",372146852,1059510
"Jul 18, 2025",373192430,1045578
"Jul 19, 2025",374300068,1107638
"Jul 20, 2025",375440593,1140525
"Jul 21, 2025",376405582,964989
"Jul 22, 2025",377458396,1052814
"Jul 23, 2025",378476002,1017606
"Jul 24, 2025",379450832,974830
"Jul 25, 2025",380416189,965357
"Jul 26, 2025",381458056,1041867
"Jul 27, 2025",382452756,994700
"Jul 28, 2025",383405355,952599
"Jul 29, 2025",384419019,1013664
"Jul 30, 2025",385450693,1031674
"Jul 31, 2025",386503242,1052549
"Aug 1, 2025",387505370,1002128
"Aug 2, 2025",388540836,1035466
"Aug 3, 2025",389585500,1044664
"Aug 4, 2025",390559275,973775
"Aug 5, 2025",391531886,972611
"Aug 6, 2025",392487965,956079
"Aug 7, 2025",393443072,955107
"Aug 8, 2025",394394620,951548
"Aug 9, 2025",395375975,981355
"Aug 10, 2025",396376841,1000866
"Aug 11, 2025",397253359,876518
"Aug 12, 2025",398199392,946033
"Aug 13, 2025",399184583,985191
"Aug 14, 2025",400126609,942026
"Aug 15, 2025",401051179,924570
"Aug 16, 2025",402008306,957127
"Aug 17, 2025",402959672,951366
"Aug 18, 2025",403806899,847227
"Aug 19, 2025",404700570,893671
"Aug 20, 2025",405614495,913925
"Aug 21, 2025",406521005,906510
"Aug 22, 2025",407414707,893702
"Aug 23, 2025",408314483,899776
"Aug 24, 2025",409223908,909425
"Aug 25, 2025",410032668,808760
"Aug 26, 2025",410867795,835127
"Aug 27, 2025",411717464,849669
"Aug 28, 2025",412559089,841625
"Aug 29, 2025",413411259,852170
"Aug 30, 2025",414295729,884470